group_id,ability_answers,criterion_answers
6,"{""1""=>61.607142857142854, ""2""=>58.92857142857142, ""3""=>59.82142857142858, ""4""=>63.39285714285714, ""5""=>71.42857142857142}","{""5""=>64.28571428571428, ""6""=>64.28571428571429, ""7""=>50.0, ""8""=>50.0, ""13""=>57.142857142857146, ""14""=>57.14285714285714, ""15""=>50.0, ""16""=>42.85714285714286, ""21""=>50.0, ""22""=>50.0, ""23""=>50.0, ""24""=>64.28571428571429, ""29""=>42.85714285714286, ""30""=>64.28571428571429, ""31""=>57.142857142857146, ""32""=>50.0, ""37""=>50.0, ""38""=>57.142857142857146, ""39""=>57.142857142857146, ""40""=>64.28571428571429}"
4,"{""1""=>58.92857142857142, ""2""=>69.64285714285715, ""3""=>73.21428571428571, ""4""=>69.64285714285714, ""5""=>67.85714285714286}","{""5""=>71.42857142857143, ""6""=>42.857142857142854, ""7""=>71.42857142857143, ""8""=>42.857142857142854, ""13""=>71.42857142857143, ""14""=>57.142857142857146, ""15""=>85.71428571428571, ""16""=>57.142857142857146, ""21""=>85.71428571428571, ""22""=>57.142857142857146, ""23""=>85.71428571428571, ""24""=>57.142857142857146, ""29""=>85.71428571428571, ""30""=>57.142857142857146, ""31""=>85.71428571428571, ""32""=>57.142857142857146, ""37""=>85.71428571428571, ""38""=>57.142857142857146, ""39""=>85.71428571428571, ""40""=>57.142857142857146}"
36,"{""1""=>69.04761904761902, ""2""=>69.04761904761902, ""3""=>58.92857142857141, ""4""=>63.095238095238074, ""5""=>71.42857142857142}","{""5""=>61.904761904761905, ""6""=>76.19047619047619, ""7""=>66.66666666666666, ""8""=>90.47619047619048, ""13""=>71.42857142857143, ""14""=>47.61904761904762, ""15""=>85.71428571428572, ""16""=>71.42857142857142, ""21""=>33.33333333333333, ""22""=>61.9047619047619, ""23""=>90.47619047619048, ""24""=>47.61904761904762, ""29""=>42.85714285714286, ""30""=>38.095238095238095, ""31""=>80.95238095238095, ""32""=>57.14285714285714, ""37""=>76.19047619047619, ""38""=>47.61904761904762, ""39""=>90.47619047619048, ""40""=>76.19047619047619}"
15,"{""1""=>57.72619047619046, ""2""=>68.35714285714285, ""3""=>71.07142857142856, ""4""=>66.9722222222222, ""5""=>62.123511904761884}","{""5""=>38.095238095238095, ""6""=>47.61904761904761, ""7""=>61.90476190476191, ""8""=>66.66666666666666, ""13""=>57.14285714285714, ""14""=>47.61904761904761, ""15""=>52.38095238095238, ""16""=>61.904761904761905, ""21""=>61.904761904761905, ""22""=>66.66666666666666, ""23""=>66.66666666666667, ""24""=>66.66666666666666, ""29""=>71.42857142857142, ""30""=>61.9047619047619, ""31""=>57.14285714285714, ""32""=>52.38095238095238, ""37""=>52.38095238095238, ""38""=>57.14285714285714, ""39""=>61.9047619047619, ""40""=>80.95238095238096}"
12,"{""1""=>64.2142857142857, ""2""=>76.59523809523807, ""3""=>76.42460317460315, ""4""=>66.78174603174601, ""5""=>60.11904761904759}","{""5""=>33.333333333333336, ""6""=>52.38095238095238, ""7""=>66.66666666666667, ""8""=>71.42857142857143, ""13""=>76.19047619047619, ""14""=>76.19047619047619, ""15""=>61.904761904761905, ""16""=>61.9047619047619, ""21""=>66.66666666666667, ""22""=>61.904761904761905, ""23""=>80.95238095238095, ""24""=>71.42857142857143, ""29""=>71.42857142857143, ""30""=>66.66666666666667, ""31""=>71.42857142857142, ""32""=>57.142857142857146, ""37""=>57.142857142857146, ""38""=>52.38095238095238, ""39""=>66.66666666666666, ""40""=>76.1904761904762}"
26,"{""1""=>51.78571428571429, ""2""=>64.28571428571429, ""3""=>64.28571428571429, ""4""=>69.64285714285715, ""5""=>87.5}","{""5""=>28.571428571428573, ""6""=>42.857142857142854, ""7""=>71.42857142857143, ""8""=>71.42857142857143, ""13""=>57.142857142857146, ""14""=>71.42857142857143, ""15""=>57.142857142857146, ""16""=>71.42857142857143, ""21""=>57.142857142857146, ""22""=>71.42857142857143, ""23""=>57.142857142857146, ""24""=>71.42857142857143, ""29""=>71.42857142857143, ""30""=>57.142857142857146, ""31""=>71.42857142857143, ""32""=>57.142857142857146, ""37""=>71.42857142857143, ""38""=>71.42857142857143, ""39""=>85.71428571428571, ""40""=>100.0}"
24,"{""1""=>76.78571428571429, ""2""=>84.82142857142857, ""3""=>78.57142857142857, ""4""=>66.96428571428572, ""5""=>49.107142857142875}","{""5""=>78.57142857142857, ""6""=>42.85714285714286, ""7""=>92.85714285714286, ""8""=>85.71428571428572, ""13""=>78.57142857142857, ""14""=>85.71428571428572, ""15""=>64.28571428571428, ""16""=>100.0, ""21""=>92.85714285714286, ""22""=>50.0, ""23""=>85.71428571428572, ""24""=>92.85714285714286, ""29""=>35.714285714285715, ""30""=>78.57142857142857, ""31""=>35.714285714285715, ""32""=>78.57142857142857, ""37""=>35.714285714285715, ""38""=>78.57142857142857, ""39""=>42.85714285714286, ""40""=>85.71428571428572}"
34,"{""1""=>71.9387755102041, ""2""=>67.60204081632655, ""3""=>66.0714285714286, ""4""=>62.50000000000003, ""5""=>72.1938775510204}","{""5""=>65.30612244897958, ""6""=>65.3061224489796, ""7""=>61.22448979591836, ""8""=>83.67346938775512, ""13""=>65.3061224489796, ""14""=>67.34693877551021, ""15""=>77.55102040816327, ""16""=>65.3061224489796, ""21""=>51.0204081632653, ""22""=>61.22448979591836, ""23""=>71.42857142857143, ""24""=>69.38775510204081, ""29""=>61.22448979591836, ""30""=>44.89795918367347, ""31""=>71.42857142857143, ""32""=>59.183673469387756, ""37""=>71.42857142857142, ""38""=>69.38775510204081, ""39""=>79.59183673469389, ""40""=>75.51020408163266}"
38,"{""1""=>72.5, ""2""=>67.85714285714286, ""3""=>60.714285714285715, ""4""=>66.42857142857143, ""5""=>71.42857142857144}","{""5""=>57.142857142857146, ""6""=>68.57142857142858, ""7""=>60.0, ""8""=>91.42857142857142, ""13""=>74.28571428571429, ""14""=>77.14285714285714, ""15""=>94.28571428571428, ""16""=>48.57142857142858, ""21""=>71.42857142857143, ""22""=>60.0, ""23""=>68.57142857142857, ""24""=>48.57142857142857, ""29""=>54.28571428571428, ""30""=>25.714285714285715, ""31""=>82.85714285714286, ""32""=>62.857142857142854, ""37""=>62.857142857142854, ""38""=>51.428571428571416, ""39""=>91.42857142857143, ""40""=>77.14285714285714}"
33,"{""1""=>71.54017857142857, ""2""=>70.31249999999993, ""3""=>63.50446428571429, ""4""=>62.61160714285713, ""5""=>73.66071428571422}","{""5""=>73.21428571428572, ""6""=>59.82142857142857, ""7""=>66.07142857142858, ""8""=>82.14285714285714, ""13""=>66.07142857142857, ""14""=>66.96428571428571, ""15""=>74.10714285714286, ""16""=>61.60714285714285, ""21""=>56.25000000000001, ""22""=>66.07142857142856, ""23""=>71.42857142857142, ""24""=>56.250000000000014, ""29""=>58.03571428571428, ""30""=>38.39285714285714, ""31""=>75.89285714285712, ""32""=>58.92857142857144, ""37""=>68.75, ""38""=>69.64285714285714, ""39""=>83.92857142857143, ""40""=>69.64285714285714}"
